,support,itemsets
77,0.10265744448489261,"frozenset({'Hospital', 'Heavy Industry'})"
78,0.10256643611212231,"frozenset({'Hospital', 'Building Material'})"
79,0.10247542773935202,"frozenset({'Elderly Care Home', 'Transit Station'})"
80,0.10238441936658173,"frozenset({'Grocery Store', 'Home Appliances'})"
81,0.10211139424827084,"frozenset({'Building Material', 'Heavy Industry', 'Hair Salon'})"
82,0.10165635238441936,"frozenset({'Transit Station', 'Building Material', 'Hair Salon'})"
83,0.10147433563887878,"frozenset({'Driving School', 'Laundry '})"
84,0.10138332726610848,"frozenset({'Bank', 'Heavy Industry'})"
85,0.10111030214779759,"frozenset({'Accountant Office', 'Church'})"
86,0.1010192937750273,"frozenset({'Real Estate', 'Laundry '})"
